Time,root.CNNP.QF.1#.QF1RCP604MP.numvalue
2019-04-20T09:50:13.000+08:00,4.895
2019-04-20T09:51:16.000+08:00,4.885
2019-04-20T09:51:37.000+08:00,4.895
2019-04-20T09:52:35.000+08:00,4.885
2019-04-20T09:55:14.000+08:00,4.894
2019-04-20T09:55:29.000+08:00,4.895
2019-04-20T09:56:33.000+08:00,4.884
2019-04-20T09:59:44.000+08:00,4.895
2019-04-20T10:00:39.000+08:00,4.884
2019-04-20T10:02:00.000+08:00,4.883
2019-04-20T10:03:48.000+08:00,4.893
2019-04-20T10:05:22.000+08:00,4.883
2019-04-20T10:06:38.000+08:00,4.893
2019-04-20T10:08:40.000+08:00,4.883
2019-04-20T10:22:32.000+08:00,4.873
2019-04-20T10:23:17.000+08:00,4.885
2019-04-20T10:24:31.000+08:00,4.873
2019-04-20T10:25:30.000+08:00,4.883
2019-04-20T10:29:01.000+08:00,4.894
2019-04-20T10:29:46.000+08:00,4.884
2019-04-20T10:30:09.000+08:00,4.894
2019-04-20T10:35:16.000+08:00,4.905
2019-04-20T10:36:04.000+08:00,4.895
2019-04-20T10:36:13.000+08:00,4.905
2019-04-20T10:49:20.000+08:00,4.895
2019-04-20T10:49:21.000+08:00,4.895
2019-04-20T10:49:46.000+08:00,4.906
2019-04-20T10:52:15.000+08:00,4.905
2019-04-20T11:02:32.000+08:00,4.915
2019-04-20T11:02:54.000+08:00,4.905
2019-04-20T11:09:54.000+08:00,4.895
2019-04-20T11:10:06.000+08:00,4.906
2019-04-20T11:12:28.000+08:00,4.895
2019-04-20T11:13:04.000+08:00,4.906
2019-04-20T11:14:36.000+08:00,4.896
2019-04-20T11:14:58.000+08:00,4.906
2019-04-20T11:16:03.000+08:00,4.896
2019-04-20T12:00:33.000+08:00,4.886
2019-04-20T12:00:50.000+08:00,4.896
2019-04-20T12:42:46.000+08:00,4.886
2019-04-20T12:42:53.000+08:00,4.885
2019-04-20T12:43:13.000+08:00,4.895
2019-04-20T12:43:14.000+08:00,4.897
2019-04-20T13:29:54.000+08:00,4.886
2019-04-20T13:30:16.000+08:00,4.897
2019-04-20T13:42:36.000+08:00,4.886
2019-04-20T13:43:20.000+08:00,4.897
2019-04-20T13:45:13.000+08:00,4.886
2019-04-20T13:47:46.000+08:00,4.897
2019-04-20T13:49:12.000+08:00,4.887
2019-04-20T13:50:47.000+08:00,4.897
2019-04-20T13:53:48.000+08:00,4.886
2019-04-20T13:54:08.000+08:00,4.896
2019-04-20T13:58:34.000+08:00,4.885
2019-04-20T13:58:51.000+08:00,4.895
2019-04-20T13:59:04.000+08:00,4.895
2019-04-20T14:03:05.000+08:00,4.884
2019-04-20T14:03:10.000+08:00,4.894
2019-04-20T14:13:14.000+08:00,4.884
2019-04-20T14:14:33.000+08:00,4.895
2019-04-20T14:26:17.000+08:00,4.883
2019-04-20T14:26:40.000+08:00,4.894
2019-04-20T14:26:58.000+08:00,4.896
2019-04-20T14:30:21.000+08:00,4.884
2019-04-20T14:31:26.000+08:00,4.895
2019-04-20T14:34:15.000+08:00,4.884
2019-04-20T14:35:44.000+08:00,4.894
2019-04-20T14:36:33.000+08:00,4.883
2019-04-20T14:42:39.000+08:00,4.894
2019-04-20T14:43:23.000+08:00,4.883
2019-04-20T14:54:56.000+08:00,4.895
2019-04-20T15:45:36.000+08:00,4.884
2019-04-20T15:46:35.000+08:00,4.897
2019-04-20T15:47:33.000+08:00,4.887
2019-04-20T15:50:35.000+08:00,4.897
2019-04-20T15:52:46.000+08:00,4.887
2019-04-20T16:01:16.000+08:00,4.897
2019-04-20T16:02:25.000+08:00,4.887
